Camera Details,Rating,Warranty,is_5G,Storage_expandable,RAM_in_GB,ROM_in_GB,Display_type,Display_size_in_inch,Rear_camera_in_MP,Front_camera_in_MP,Battery_capacity_in_mAh,Processor_brand,Total_Ratings,Total_Reviews,product_brand
51,4.2,1.0,1,0,6.0,128.0,0,6.4,48.0,16.0,5000.0,0,624.0,69.0,19
50,4.2,1.0,1,0,8.0,128.0,0,6.4,48.0,48.0,5000.0,0,318.0,27.0,19
26,4.3,1.0,0,0,3.0,32.0,6,6.52,13.0,8.0,6000.0,1,56630.0,3793.0,19
100,4.3,1.0,1,0,6.0,128.0,0,6.72,50.0,50.0,5000.0,2,9143.0,504.0,19
44,4.4,1.0,0,0,4.0,64.0,3,6.5,48.0,16.0,4300.0,1,60908.0,6253.0,19
60,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,5.0,5000.0,4,24499.0,881.0,19
60,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,5.0,5000.0,4,24499.0,881.0,19
44,4.4,1.0,0,0,6.0,64.0,3,6.5,48.0,16.0,4300.0,1,88342.0,7673.0,19
1,4.4,1.0,1,0,8.0,256.0,3,6.7,100.0,16.0,5000.0,0,95020.0,7129.0,19
1,4.3,1.0,1,0,12.0,256.0,3,6.7,100.0,16.0,5000.0,0,1932.0,171.0,19
21,4.4,1.0,0,0,3.0,32.0,6,6.52,13.0,5.0,6000.0,1,325768.0,19206.0,19
60,4.4,1.0,0,0,4.0,128.0,6,6.5,50.0,5.0,5000.0,4,24499.0,881.0,19
70,4.3,1.0,0,0,6.0,128.0,3,6.6,50.0,16.0,5000.0,1,14392.0,902.0,19
21,4.4,1.0,0,0,3.0,32.0,6,6.52,13.0,5.0,6000.0,1,325768.0,19206.0,19
23,4.5,1.0,0,0,3.0,32.0,6,6.22,13.0,13.0,4230.0,1,303863.0,26111.0,19
119,4.5,1.0,0,0,6.0,128.0,3,6.4,64.0,32.0,4000.0,3,22578.0,2530.0,19
23,4.5,1.0,0,0,3.0,64.0,6,6.22,13.0,13.0,4230.0,1,455729.0,43210.0,19
120,4.3,1.0,0,0,8.0,128.0,2,6.62,64.0,16.0,5000.0,3,16084.0,1512.0,19
120,4.3,1.0,0,0,6.0,128.0,2,6.62,64.0,16.0,5000.0,3,23376.0,2344.0,19
117,4.3,1.0,0,0,4.0,64.0,6,6.5,64.0,16.0,5000.0,3,313545.0,21759.0,19
60,4.4,1.0,0,0,3.0,32.0,6,6.5,50.0,5.0,5000.0,4,27980.0,1061.0,19
60,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,5.0,5000.0,4,74305.0,3057.0,19
33,4.4,1.0,1,0,8.0,256.0,3,6.7,200.0,32.0,5000.0,0,58276.0,5263.0,19
33,4.4,1.0,1,0,8.0,256.0,3,6.7,200.0,32.0,5000.0,0,58276.0,5263.0,19
33,4.4,1.0,1,0,8.0,256.0,3,6.7,200.0,32.0,5000.0,0,58276.0,5263.0,19
33,4.4,1.0,1,0,12.0,256.0,3,6.7,200.0,32.0,5000.0,0,19412.0,1786.0,19
71,4.4,1.0,1,0,4.0,64.0,3,6.6,50.0,8.0,5000.0,0,56591.0,2723.0,19
60,4.4,1.0,0,0,3.0,32.0,6,6.5,50.0,5.0,5000.0,4,27980.0,1061.0,19
6,4.3,1.0,1,0,6.0,128.0,3,6.72,108.0,16.0,5000.0,3,44165.0,3037.0,19
6,4.3,1.0,1,0,6.0,128.0,3,6.72,108.0,16.0,5000.0,3,44165.0,3037.0,19
87,4.3,1.0,0,0,12.0,256.0,3,6.7,50.0,16.0,4500.0,0,826.0,90.0,19
6,4.3,1.0,1,0,6.0,128.0,3,6.72,108.0,16.0,5000.0,3,44165.0,3037.0,19
87,4.3,1.0,0,0,12.0,256.0,3,6.7,50.0,16.0,4500.0,0,826.0,90.0,19
60,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,5.0,5000.0,4,74305.0,3057.0,19
120,4.3,1.0,0,0,8.0,128.0,2,6.62,64.0,16.0,5000.0,3,16084.0,1512.0,19
120,4.3,1.0,0,0,6.0,128.0,2,6.62,64.0,16.0,5000.0,3,23376.0,2344.0,19
120,4.3,1.0,0,0,8.0,256.0,2,6.62,64.0,16.0,5000.0,3,16084.0,1512.0,19
60,4.4,1.0,0,0,4.0,64.0,6,6.5,50.0,5.0,5000.0,4,74305.0,3057.0,19
117,4.4,1.0,0,0,8.0,128.0,3,6.4,64.0,16.0,5000.0,1,97275.0,8359.0,19
42,4.5,1.0,0,0,6.0,64.0,3,6.3,48.0,16.0,4035.0,3,117173.0,11049.0,19
71,4.3,1.0,1,0,6.0,128.0,3,6.6,50.0,8.0,5000.0,0,11400.0,731.0,19
120,4.3,1.0,0,0,6.0,128.0,2,6.62,64.0,16.0,5000.0,3,23376.0,2344.0,19
6,4.3,1.0,1,0,6.0,128.0,3,6.72,108.0,16.0,5000.0,3,44165.0,3037.0,19
110,4.4,1.0,0,0,12.0,256.0,3,6.44,64.0,32.0,4200.0,3,1673.0,187.0,19
117,4.4,1.0,0,0,8.0,128.0,3,6.4,64.0,16.0,5000.0,1,97275.0,8359.0,19
42,4.5,1.0,0,0,6.0,64.0,3,6.3,48.0,16.0,4035.0,3,117173.0,11049.0,19
110,4.4,1.0,0,0,8.0,128.0,3,6.44,64.0,32.0,4200.0,3,8705.0,1228.0,19
42,4.5,1.0,0,0,4.0,64.0,3,6.3,48.0,16.0,4035.0,3,146871.0,13960.0,19
117,4.4,1.0,0,0,6.0,128.0,3,6.4,64.0,16.0,5000.0,1,123152.0,9889.0,19
119,4.2,1.0,1,0,8.0,128.0,3,6.55,64.0,32.0,4500.0,0,13528.0,1698.0,19
119,4.2,1.0,1,0,8.0,128.0,3,6.55,64.0,32.0,4500.0,0,13528.0,1698.0,19
9,4.4,1.0,0,0,8.0,128.0,3,6.4,108.0,16.0,4500.0,3,40817.0,3347.0,19
71,4.3,1.0,1,0,6.0,128.0,3,6.6,50.0,8.0,5000.0,0,11400.0,731.0,19
21,4.4,1.0,0,0,3.0,32.0,6,6.5,13.0,5.0,5000.0,1,72912.0,3891.0,19
6,4.3,1.0,1,0,8.0,128.0,3,6.72,108.0,16.0,5000.0,3,40922.0,2837.0,19
24,4.4,1.0,0,0,2.0,32.0,6,6.5,13.0,5.0,5000.0,1,461213.0,29157.0,19
25,4.4,1.0,0,0,3.0,32.0,6,6.51,13.0,8.0,6000.0,1,131897.0,9433.0,19
21,4.4,1.0,0,0,3.0,32.0,6,6.5,13.0,5.0,5000.0,1,72912.0,3891.0,19
25,4.4,1.0,0,0,3.0,32.0,6,6.51,13.0,8.0,6000.0,1,131897.0,9433.0,19
38,4.4,1.0,1,0,6.0,128.0,3,6.5,48.0,16.0,5000.0,0,86303.0,7333.0,19
38,4.4,1.0,1,0,6.0,128.0,3,6.5,48.0,16.0,5000.0,0,86303.0,7333.0,19
38,4.3,1.0,1,0,4.0,64.0,3,6.5,48.0,16.0,5000.0,0,10411.0,939.0,19
109,4.4,1.0,0,0,8.0,128.0,3,6.57,64.0,16.0,4200.0,3,15859.0,1757.0,19
43,4.5,1.0,0,0,4.0,128.0,6,6.5,48.0,13.0,5000.0,3,300999.0,25114.0,19
24,4.4,1.0,0,0,2.0,32.0,6,6.2,13.0,5.0,4230.0,3,409122.0,42080.0,19
109,4.5,1.0,0,0,8.0,128.0,3,6.6,64.0,16.0,4300.0,2,31295.0,3565.0,19
111,4.6,1.0,0,0,12.0,256.0,3,6.5,64.0,16.0,4000.0,3,7965.0,1198.0,19
111,4.5,1.0,0,0,8.0,128.0,3,6.5,64.0,16.0,4000.0,3,20814.0,3230.0,19
120,4.3,1.0,0,0,12.0,256.0,3,6.43,64.0,16.0,4500.0,0,13403.0,1831.0,19
131,4.4,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,1,302360.0,14028.0,19
131,4.4,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,1,302360.0,14028.0,19
109,4.4,1.0,0,0,6.0,128.0,3,6.6,64.0,16.0,4300.0,2,61232.0,6493.0,19
24,4.4,1.0,0,0,2.0,32.0,6,6.1,13.0,5.0,4000.0,2,917315.0,70655.0,19
24,4.4,1.0,0,0,2.0,32.0,6,6.1,13.0,5.0,4000.0,2,917315.0,70655.0,19
131,4.2,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,4,112633.0,5736.0,13
131,4.1,1.0,0,0,3.0,32.0,6,6.5,8.0,5.0,5000.0,4,73501.0,4190.0,13
131,4.1,1.0,0,0,3.0,32.0,6,6.5,8.0,5.0,5000.0,4,73501.0,4190.0,13
25,4.4,1.0,0,0,4.0,64.0,6,6.51,13.0,8.0,6000.0,1,131440.0,8514.0,19
120,4.3,1.0,1,0,8.0,128.0,3,6.43,64.0,16.0,4310.0,0,25387.0,2387.0,19
22,4.4,1.0,0,0,4.0,64.0,6,6.5,13.0,8.0,6000.0,1,44803.0,2282.0,19
120,4.3,1.0,1,0,6.0,128.0,3,6.43,64.0,16.0,4310.0,0,62112.0,6267.0,19
41,4.5,1.0,0,0,8.0,128.0,3,6.53,48.0,16.0,3765.0,3,43630.0,5178.0,19
41,4.5,1.0,0,0,4.0,128.0,3,6.53,48.0,16.0,3765.0,3,106873.0,13459.0,19
131,4.5,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,4,76776.0,8834.0,13
41,4.5,1.0,0,0,8.0,128.0,3,6.53,48.0,16.0,3765.0,3,12110.0,1176.0,19
50,4.5,1.0,1,0,4.0,64.0,0,6.6,48.0,48.0,5000.0,2,12110.0,1176.0,19
94,4.4,1.0,1,0,12.0,256.0,3,6.7,64.0,32.0,5000.0,3,5154.0,339.0,19
94,4.3,1.0,1,0,12.0,256.0,3,6.7,64.0,32.0,5000.0,3,1999.0,71.0,19
100,4.3,1.0,1,0,8.0,128.0,0,6.67,50.0,50.0,5000.0,2,683.0,28.0,19
38,4.3,1.0,1,0,6.0,128.0,3,6.5,48.0,16.0,5000.0,0,15646.0,1192.0,19
50,4.4,1.0,1,0,8.0,128.0,0,6.4,48.0,48.0,5000.0,0,216918.0,13078.0,19
120,4.3,1.0,1,0,8.0,128.0,3,6.6,64.0,16.0,5000.0,3,3331.0,120.0,19
15,4.3,1.0,0,0,4.0,64.0,6,6.5,12.0,8.0,5000.0,3,3331.0,120.0,19
36,4.3,1.0,0,0,4.0,128.0,6,6.745,32.0,5.0,5000.0,4,25387.0,2387.0,19
36,4.5,1.0,0,0,4.0,128.0,6,6.745,32.0,5.0,5000.0,4,106873.0,13459.0,19
76,4.3,1.0,1,0,4.0,128.0,3,6.72,50.0,8.0,5000.0,0,62112.0,6267.0,19
120,4.2,1.0,1,0,8.0,128.0,3,6.43,64.0,16.0,4310.0,0,112633.0,5736.0,19
41,4.5,1.0,0,0,4.0,128.0,3,6.53,48.0,16.0,3765.0,3,76776.0,8834.0,19
120,4.5,1.0,1,0,6.0,128.0,3,6.43,64.0,16.0,4310.0,0,43630.0,5178.0,19
131,4.5,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,4,43630.0,5178.0,13
41,3.7,1.0,0,0,8.0,128.0,3,6.53,48.0,16.0,3765.0,3,9.0,2.0,19
41,4.3,1.0,0,0,8.0,128.0,3,6.53,48.0,16.0,3765.0,3,3331.0,120.0,19
36,4.3,1.0,0,0,4.0,128.0,6,6.745,32.0,5.0,5000.0,4,1396.0,72.0,19
36,4.5,1.0,0,0,4.0,128.0,6,6.745,32.0,5.0,5000.0,4,12110.0,1176.0,19
76,4.4,1.0,1,0,4.0,128.0,3,6.72,50.0,8.0,5000.0,0,23535.0,2791.0,19
100,4.2,1.0,1,0,8.0,128.0,0,6.72,50.0,50.0,5000.0,0,3962.0,187.0,19
94,4.2,1.0,1,0,12.0,256.0,3,6.7,64.0,32.0,5000.0,3,3962.0,187.0,19
94,4.3,1.0,1,0,8.0,128.0,3,6.7,64.0,32.0,5000.0,3,1059.0,79.0,19
94,4.3,1.0,1,0,8.0,128.0,3,6.7,64.0,32.0,5000.0,3,1238.0,152.0,19
105,4.3,1.0,1,0,4.0,64.0,6,6.67,50.0,8.0,5000.0,0,1238.0,152.0,19
105,4.1,1.0,1,0,4.0,64.0,6,6.67,50.0,8.0,5000.0,0,97.0,7.0,19
100,4.3,1.0,1,0,6.0,128.0,2,6.67,50.0,50.0,5000.0,2,1238.0,152.0,19
73,4.3,1.0,1,0,8.0,256.0,3,6.67,50.0,16.0,5000.0,0,1238.0,152.0,19
73,4.1,1.0,1,0,8.0,256.0,3,6.67,50.0,16.0,5000.0,0,97.0,7.0,19
73,4.3,1.0,1,0,12.0,256.0,3,6.67,50.0,16.0,5000.0,0,1333.0,59.0,19
73,4.5,1.0,1,0,8.0,256.0,3,6.67,50.0,16.0,5000.0,0,1687.0,115.0,19
73,4.3,1.0,1,0,8.0,256.0,3,6.67,50.0,16.0,5000.0,0,456.0,32.0,19
73,4.3,1.0,1,0,12.0,256.0,3,6.67,50.0,16.0,5000.0,0,456.0,32.0,19
88,4.4,1.0,1,0,12.0,256.0,3,6.7,50.0,32.0,5200.0,3,137612.0,8427.0,19
88,4.5,1.0,1,0,12.0,256.0,3,6.7,50.0,32.0,5200.0,3,38013.0,4683.0,19
120,4.3,1.0,1,0,12.0,256.0,3,6.43,64.0,16.0,4500.0,3,19571.0,1248.0,19
105,4.1,1.0,1,0,6.0,128.0,6,6.67,50.0,8.0,5000.0,0,73501.0,4190.0,19
115,4.4,1.0,1,0,6.0,128.0,3,6.72,64.0,8.0,5000.0,0,112384.0,6269.0,19
31,4.4,1.0,0,0,8.0,128.0,3,6.3,16.0,16.0,3500.0,3,112384.0,6269.0,19
115,4.1,1.0,1,0,8.0,128.0,3,6.72,64.0,8.0,5000.0,0,2609.0,73.0,19
131,4.4,1.0,0,0,3.0,32.0,6,6.5,8.0,5.0,5000.0,4,112384.0,6269.0,19
115,4.3,1.0,0,0,4.0,64.0,3,6.72,64.0,8.0,5000.0,1,72693.0,5468.0,19
115,4.1,1.0,0,0,4.0,64.0,3,6.72,64.0,8.0,5000.0,1,25114.0,1596.0,19
100,4.4,1.0,0,0,4.0,128.0,0,6.74,50.0,50.0,5000.0,2,133417.0,5948.0,19
115,4.3,1.0,0,0,4.0,64.0,3,6.72,64.0,8.0,5000.0,1,19744.0,1214.0,19
6,4.1,1.0,1,0,8.0,128.0,3,6.72,108.0,16.0,5000.0,0,2609.0,73.0,19
7,4.4,1.0,0,0,4.0,128.0,5,6.74,108.0,8.0,5000.0,4,26472.0,2116.0,19
7,4.4,1.0,0,0,6.0,64.0,5,6.74,108.0,8.0,5000.0,4,26472.0,2116.0,19
115,4.4,1.0,0,0,6.0,64.0,3,6.72,64.0,8.0,5000.0,1,238759.0,10128.0,19
100,4.4,1.0,0,0,4.0,128.0,0,6.745,50.0,50.0,5000.0,2,5349.0,719.0,19
10,4.5,1.0,1,0,8.0,256.0,3,6.7,108.0,16.0,5000.0,0,134743.0,7690.0,19
10,4.5,1.0,1,0,8.0,256.0,3,6.7,108.0,16.0,5000.0,0,43445.0,2377.0,19
131,4.5,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,2,134743.0,7690.0,19
120,4.4,1.0,0,0,12.0,256.0,3,6.62,64.0,16.0,5000.0,3,86732.0,8886.0,19
