Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"(Refurbished) POCO C31 (Shadow Gray, 64 GB)","₹5,599",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6.53 inch HD+ Display,"13MP + 2, 2MP Dual Rear Camera | 5MP Front Camera",5000 mAh Battery,4.3,MediaTek Helio G35 Processor,Not Available,"15,245 Ratings & 1,961 Reviews"
"POCO F3 GT 5G (Gunmetal Silver, 128 GB)","₹34,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5065 mAh Lithium-ion Polymer Battery,4.3,MediaTek Dimensity 1200 Processor,"1 Year Warranty for Handset, 6 Months for Accessories","15,245 Ratings & 1,961 Reviews"
"POCO F3 GT 5G (Predator Black, 128 GB)","₹34,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5065 mAh Lithium-ion Polymer Battery,4.3,MediaTek Dimensity 1200 Processor,"1 Year Warranty for Handset, 6 Months for Accessories","31,425 Ratings & 3,173 Reviews"
"POCO X5 Pro 5G (Astral Black, 128 GB)","₹17,349",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.3,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"15,245 Ratings & 1,961 Reviews"
"(Refurbished) POCO X4 Pro 5G (Laser Blue, 128 GB)","₹14,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.67 inch Full HD+ Display,64MP + 8MP Dual Rear Camera | 16MP Front Camera,5000 mAh Battery,4.5,Qualcomm Snapdragon 695 5G Processor,Not Available,"2,44,500 Ratings & 29,866 Reviews"
"(Refurbished) POCO X3 Pro (Steel Blue, 128 GB)","₹8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.67 inch Full HD+ Display,48MP + 8MP Dual Rear Camera | 20MP Front Camera,5160 mAh Battery,4,Qualcomm Snapdragon 860 Processor,Not Available,3 Ratings & 0 Reviews
"(Refurbished) POCO X3 Pro (Graphite Black, 128 GB)","₹8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.67 inch Full HD+ Display,48MP + 8MP Dual Rear Camera | 20MP Front Camera,5160 mAh Battery,2.5,Qualcomm Snapdragon 860 Processor,Not Available,4 Ratings & 0 Reviews
"POCO F3 GT 5G (Predator Black, 256 GB)","₹36,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5065 mAh Lithium-ion Polymer Battery,4.4,MediaTek Dimensity 1200 Processor,"1 Year Warranty for Handset, 6 Months for Accessories","25,418 Ratings & 3,068 Reviews"
"POCO F1 (Rosso Red, 64 GB)","₹21,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.7 cm (6.18 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Not Available,Qualcomm Snapdragon 845 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Not Available
"(Refurbished) POCO X3 Pro (Graphite Black, 128 GB)","₹8,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.67 inch Full HD+ Display,48MP + 8MP Dual Rear Camera | 20MP Front Camera,5160 mAh Battery,Not Available,Qualcomm Snapdragon 860 Processor,Not Available,Not Available
"(Refurbished) POCO M3 Pro 5G (Power Black, 64 GB)","₹9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6.5 inch Full HD+ Display,48MP + 2MP Dual Rear Camera | 8MP Front Camera,5000 mAh Battery,Not Available,MediaTek Dimensity 700 Processor,Not Available,Not Available
"(Refurbished) POCO M4 Pro (Cool Blue, 128 GB)","₹8,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.43 inch Full HD+ Display,64MP + 8MP Dual Rear Camera | 16MP Front Camera,5000 mAh Battery,Not Available,Mediatek Helio G96 Processor,Not Available,Not Available
"(Refurbished) POCO M2 Pro (Out of the Blue, 64 GB)","₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6.67 inch Full HD+ Display,48MP Rear Camera | 16MP Front Camera,5000 mAh Battery,Not Available,Qualcomm Snapdragon 720G Processor,Not Available,Not Available
"POCO F5 5G (Snowstorm White, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Not Available,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,2 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Not Available
"(Refurbished) POCO X5 Pro 5G (Astral Black, 256 GB)","₹18,999",8 GB RAM | 256 GB ROM |,6.67 inch Full HD+ Display,108MP Rear Camera | 16MP Front Camera,5000 mAh Battery,Not Available,Qualcomm Snapdragon 778G Processor,Not Available,Not Available
