Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹34,999",12 GB RAM | 256 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,4200 mAh Battery,4.2,Qualcomm Snapdragon 855+ Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"3,187 Ratings & 346 Reviews"
"realme 13 5G (Dark Purple, 256 GB)","₹19,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.3,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,602 Ratings & 32 Reviews
"realme C55 (Rainy Night, 64 GB)","₹10,499",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.3,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"19,744 Ratings & 1,214 Reviews"
"realme Narzo N55 (Prime Blue, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,64MP Rear Camera,5000 mAh Battery,4.3,Not Available,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,"7,432 Ratings & 389 Reviews"
"realme Narzo 50 (Speed Black, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.4,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"18,591 Ratings & 1,143 Reviews"
"realme Narzo 50 (Speed Black, 128 GB)","₹13,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.3,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"14,392 Ratings & 902 Reviews"
"realme Narzo 20 (Victory Blue, 128 GB)","₹11,989",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"5,26,955 Ratings & 38,877 Reviews"
"realme Narzo 20 (Victory Blue, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"5,26,955 Ratings & 38,877 Reviews"
"realme Narzo 20 (Glory Silver, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"5,26,955 Ratings & 38,877 Reviews"
"realme Narzo 50 (Speed Blue, 64 GB)","₹18,490",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.4,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"18,591 Ratings & 1,143 Reviews"
"realme 9 5G SE (Azure Glow, 128 GB)","₹22,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"29,718 Ratings & 2,346 Reviews"
"realme 9 Pro+ 5G (Midnight Black, 256 GB)","₹31,999",8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"35,960 Ratings & 3,810 Reviews"
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹14,990",8 GB RAM | 256 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,4200 mAh Battery,4.3,Qualcomm Snapdragon 855+ Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"11,248 Ratings & 1,170 Reviews"
"realme 8i (Space Black, 128 GB)","₹26,966",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,MediaTek Helio G96 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"70,877 Ratings & 4,842 Reviews"
"realme GT Neo 3 (Asphalt Black, 128 GB)","₹27,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.2,Mediatek Dimensity 8100 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,769 Ratings & 227 Reviews"
"realme GT Neo 3 (Asphalt Black, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.2,Mediatek Dimensity 8100 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,769 Ratings & 227 Reviews"
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹24,990",12 GB RAM | 256 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,4200 mAh Battery,4.2,Qualcomm Snapdragon 855+ Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"3,187 Ratings & 346 Reviews"
"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹22,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP Rear Camera | 2MP Front Camera,5000 mAh Battery,4.3,octa -core Mediatek Dimensity 7050 processor Processor,Not Available,800 Ratings & 75 Reviews
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,624 Ratings & 69 Reviews
"realme C25s (Watery Grey, 64 GB)","₹24,490",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,4.4,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"53,536 Ratings & 3,009 Reviews"
"realme GT Master Edition (Voyager Grey, 128 GB)","₹23,990",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme GT Master Edition (Daybreak Blue, 128 GB)","₹15,899",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme 8s 5G (Universe Blue, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,MediaTek Dimensity 810 5G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"78,244 Ratings & 6,172 Reviews"
"realme C33 2023 (Night Sea, 128 GB)","₹29,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Unisoc T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"24,499 Ratings & 881 Reviews"
"realme GT 2 (Steel Black, 256 GB)","₹9,899",12 GB RAM | 256 GB ROM,16.81 cm (6.62 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Qualcomm Snapdragon 888 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,879 Ratings & 229 Reviews"
"realme Narzo 50A Prime (Flash Blue, 64 GB)","₹20,490",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,4.1,Not Available,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,787 Ratings & 81 Reviews"
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","₹21,490",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera | 16MP Front Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,624 Ratings & 69 Reviews
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹11,299",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,318 Ratings & 27 Reviews
"realme C25s (Watery Blue, 128 GB)","₹24,990",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,4.4,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"53,536 Ratings & 3,009 Reviews"
