Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹23,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery,4.3,Dimensity 8200 Ultimate Processor,1 Year Warranty,"10,761 Ratings & 872 Reviews"
"Infinix Note 40X 5G (Lime Green, 256 GB)","₹13,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.22 cm (6.78 inch) Full HD+ Display,108MP + 2MP + AI Lens | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,4.3,Dimensity 6300 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"14,921 Ratings & 939 Reviews"
"Apple iPhone 15 (Black, 128 GB)","₹58,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"2,22,139 Ratings & 7,882 Reviews"
"Apple iPhone 15 (Green, 128 GB)","₹58,749",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"2,22,139 Ratings & 7,882 Reviews"
"Infinix Note 40 Pro 5G (Gold, 256 GB)","₹19,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery,4.2,Mediatek Dimensity 7020 Processor,1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories,"30,383 Ratings & 1,977 Reviews"
"Infinix Hot 50 5G (Sleek Black, 128 GB)","₹10,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,48MP + Depth Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,4.4,Dimensity 6300 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"5,933 Ratings & 422 Reviews"
"Apple iPhone 15 (Pink, 128 GB)","₹58,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"2,22,139 Ratings & 7,882 Reviews"
"Apple iPhone 15 (Blue, 128 GB)","₹59,249",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"2,22,139 Ratings & 7,882 Reviews"
"Apple iPhone 15 Plus (Blue, 128 GB)","₹64,999",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"34,519 Ratings & 1,963 Reviews"
"Apple iPhone 15 Plus (Black, 128 GB)","₹64,999",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,Not Available,4.6,"A16 Bionic Chip, 6 Core Processor Processor",Not Available,"34,519 Ratings & 1,963 Reviews"
