Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.5,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"37,921 Ratings & 1,285 Reviews"
"realme 12x 5G (Coral Red, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.4,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"89,216 Ratings & 4,154 Reviews"
"realme 12x 5G (Woodland Green, 128 GB)","₹13,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.5,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"37,921 Ratings & 1,285 Reviews"
"realme 12x 5G (Woodland Green, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.4,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"89,216 Ratings & 4,154 Reviews"
"realme 12x 5G (Twilight Purple, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.4,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"89,216 Ratings & 4,154 Reviews"
"realme C61 (Safari Green, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,4.4,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"6,537 Ratings & 178 Reviews"
"realme 12x 5G (Coral Red, 128 GB)","₹13,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.5,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"37,921 Ratings & 1,285 Reviews"
"realme C61 (Marble Black, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,4.4,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"6,537 Ratings & 178 Reviews"
"realme C61 (Marble Black, 64 GB)","₹7,699",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,4.3,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"3,269 Ratings & 115 Reviews"
"realme P1 Pro 5G (Parrot Blue, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,4.5,6 Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"26,030 Ratings & 1,717 Reviews"
"realme P1 Pro 5G (Phoenix Red, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,4.5,6 Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"26,030 Ratings & 1,717 Reviews"
"realme P1 Pro 5G (Parrot Blue, 256 GB)","₹20,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,4.5,6 Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"26,030 Ratings & 1,717 Reviews"
"realme P1 5G (Feather Blue, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"66,901 Ratings & 3,854 Reviews"
"realme P1 5G (Feather Blue, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"34,954 Ratings & 1,899 Reviews"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"34,954 Ratings & 1,899 Reviews"
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹12,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery,4.4,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"1,547 Ratings & 60 Reviews"
"realme Narzo N61 (Voyage Blue, 64 GB)","₹7,280",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,4.2,Not Available,Not Available,516 Ratings & 21 Reviews
"realme Narzo N61 (Marble Black, 64 GB)","₹7,450",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,4.2,Not Available,Not Available,516 Ratings & 21 Reviews
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹20,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,4.5,6 Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"26,030 Ratings & 1,717 Reviews"
