Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme GT Master Edition (Voyager Grey, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme 9 (Sunburst Gold, 128 GB)","₹20,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ AMOLED Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Qualcomm Snapdragon 680 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"67,971 Ratings & 4,684 Reviews"
"realme GT NEO 2 (NEO Green, 128 GB)","₹22,999",8 GB RAM | 128 GB ROM,16.81 cm (6.62 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Qualcomm Snapdragon 870 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"18,458 Ratings & 2,460 Reviews"
"realme Narzo 60 Pro 5G (Mars Orange, 1 TB)","₹21,900",12 GB RAM | 1 TB ROM,17.02 cm (6.7 inch) Display,100MP Rear Camera,5000 mAh Battery,4.3,Not Available,Not Available,560 Ratings & 41 Reviews
"realme C15 Qualcomm Edition (Power Silver, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.4,Qualcomm Snapdragon 460 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"67,603 Ratings & 3,474 Reviews"
"realme C15 Qualcomm Edition (Power Silver, 32 GB)","₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,Qualcomm Snapdragon 460 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"4,832 Ratings & 304 Reviews"
"realme 11 Pro 5G (Oasis Green, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"95,020 Ratings & 7,129 Reviews"
"realme Narzo 50A Prime (Flash Black, 128 GB)","₹14,499",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,4.1,Not Available,12 Months Brand Warranty,"1,787 Ratings & 81 Reviews"
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"95,020 Ratings & 7,129 Reviews"
"realme 11 Pro 5G (Astral Black, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.3,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"1,932 Ratings & 171 Reviews"
"realme 11 Pro 5G (Oasis Green, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.3,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"1,932 Ratings & 171 Reviews"
"realme 9 Pro+ 5G (Aurora Green, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"35,960 Ratings & 3,810 Reviews"
"realme 9 Pro+ 5G (Midnight Black, 128 GB)","₹18,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"32,919 Ratings & 3,864 Reviews"
"realme 9 Pro+ 5G (Aurora Green, 128 GB)","₹18,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"32,919 Ratings & 3,864 Reviews"
"realme 8 Pro (Illuminating Yellow, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,4.4,Qualcomm Snapdragon 720G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"40,817 Ratings & 3,347 Reviews"
"realme Narzo 10A (So White, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,4.5,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"87,930 Ratings & 5,071 Reviews"
"realme 8i (Space Purple, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,MediaTek Helio G96 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"70,877 Ratings & 4,842 Reviews"
"realme C3 (Blazing Red, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,4.4,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"1,92,897 Ratings & 13,281 Reviews"
"realme C3 (Frozen Blue, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,4.4,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"1,92,897 Ratings & 13,281 Reviews"
"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"35,960 Ratings & 3,810 Reviews"
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹11,111",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,4.1,Not Available,12 Months Brand Warranty,"1,787 Ratings & 81 Reviews"
"realme C15 (Power Silver, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.4,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"1,25,791 Ratings & 7,112 Reviews"
"realme C15 (Power Blue, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.4,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"1,25,791 Ratings & 7,112 Reviews"
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)","₹18,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"32,919 Ratings & 3,864 Reviews"
"realme 3i (Diamond Blue, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,4.4,MediaTek Helio P60 Octa Core 2.0 GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"80,223 Ratings & 6,516 Reviews"
"realme Narzo 60X 5G (Nebula Purple, 128 GB)","₹14,449",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,4.3,mediatek dimensity 6100 plus processor Processor,Domestic Warranty 1 Year For Handset and 6 Months For Accessories.,"9,143 Ratings & 504 Reviews"
"realme C15 (Power Silver, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.4,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"1,25,791 Ratings & 7,112 Reviews"
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)","₹18,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"32,919 Ratings & 3,864 Reviews"
